cv0   tmp596
model_1/base_model/conv_pw_2/Conv2D_bias_fused_bn   tmp29
model_1/base_model/conv_pw_2/Conv2D_weights_fused_bn   tmp28
model_1/base_model/conv_pw_3/Conv2D_bias_fused_bn   tmp27
model_1/base_model/conv_pw_3/Conv2D_weights_fused_bn   tmp26
model_1/base_model/conv_pw_4/Conv2D_bias_fused_bn   tmp25
model_1/base_model/conv_pw_4/Conv2D_weights_fused_bn   tmp24
model_1/base_model/conv_pw_5/Conv2D_bias_fused_bn   tmp23
model_1/base_model/conv_pw_5/Conv2D_weights_fused_bn   tmp22
model_1/base_model/conv_pw_6/Conv2D_bias_fused_bn   tmp21
model_1/base_model/conv_pw_6/Conv2D_weights_fused_bn   tmp20
model_1/base_model/conv_pw_7/Conv2D_bias_fused_bn   tmp19
model_1/base_model/conv_pw_7/Conv2D_weights_fused_bn   tmp18
model_1/base_model/conv_pw_8/Conv2D_bias_fused_bn   tmp17
model_1/base_model/conv_pw_8/Conv2D_weights_fused_bn   tmp16
model_1/classification_head/BiasAdd/ReadVariableOp:0   tmp15
model_1/classification_head/MatMul/ReadVariableOp:0   tmp14
model_1/custom_reduction/conv2d_3/BiasAdd/ReadVariableOp:0   tmp13
model_1/custom_reduction/conv2d_3/Conv2D/ReadVariableOp:0   tmp12
model_1/patch_extraction/conv2d_2/BiasAdd/ReadVariableOp:0   tmp11
model_1/patch_extraction/conv2d_2/Conv2D/ReadVariableOp:0   tmp10
model_1/patch_extraction/separable_conv2d_2/BiasAdd/ReadVariableOp:0   tmp9
model_1/patch_extraction/separable_conv2d_2/separable_conv2d/ReadVariableOp_1:0   tmp8
model_1/patch_extraction/separable_conv2d_3/BiasAdd/ReadVariableOp:0   tmp7
model_1/patch_extraction/separable_conv2d_3/separable_conv2d/ReadVariableOp_1:0   tmp6
model_1/pre_classification/batch_normalization_1/batchnorm/mul:0   tmp5
model_1/pre_classification/batch_normalization_1/batchnorm/sub:0   tmp4
model_1/pre_classification/dense_1/BiasAdd/ReadVariableOp:0   tmp3
model_1/pre_classification/dense_1/MatMul/ReadVariableOp:0   tmp2
model_1/tf.math.subtract/Sub/y:0   tmp1
x   tmp0
